name,image_url,design_color_id,typical_beer_id,alcohol_level,user_id,beer_family_id
Dremmwel Rousse 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/9101afba24559258607302752aafa574abf37794_BBO031940_1.png,11,57,6,2,3
Dremmwel Blé Noir 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/cb98db0ca132a53c24345ca39bbcd1d7feeabc4f_BBO031977_1.png,5,57,5.4,2,3
Bonsecours Héritage 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/02901f878b42cb2c0ebbca16500078b85111b425_BBO030291_1.png,5,57,8,2,3
Britt Rousse  33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e12fa1aaed535572eaea20c414c35e8f97fc6d16_BBO030385_1.png,5,57,5.4,2,3
Tempelier 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/108507437fc4675e537cbcefdef02afe852dcb58_BBO032122_1.png,5,57,6,2,3
Ar-Men Rousse 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/64089e2974af7323ff5bc3b73b97e82ec709bbad_BBO030169_1.png,11,57,6,2,3
Ar-Men Ambrée 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/d652a4273df350bb5ed470c1722abcd2b2872081_BBO030164_1.png,5,57,5.4,2,3
Meteor Cerise 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e8eb046a0a8eb2da43bb2c898f2d1083330b919f_BBO046960_1.png,8,64,5.5,2,3
Kwak Rouge 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/7d23a8cc4d52cbb733ea51eef5bd21d50db58ff9_BBO045081_1.png,8,64,8,2,3
Mini fût Kwak Rouge 6L,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/98874ca6fcb7af8abb90e05fa7ba8bf5814d7c4d_BMI045893_1.png,8,64,8,2,3
Rodenbach Fruitage 25 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/065c5bc41566bfa14069279777f1505861cd045d_BBO043988_1.png,8,64,3.9,2,3
Val Dieu Fruitée 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/57a2e0c475a267ce1e1230c04c7b05638c533660_BBO044382_1.png,8,64,9,2,3
La Violette du Mont Blanc 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/d042bc9eab81031a6fe7c311145dfb73bea9077a_BBO042843_1.png,11,64,4.7,2,3
Levrette Pêche 25 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e5afb49e281b6ba5ce076096825c994978472df6_BBO043494_1.png,11,64,3.7,2,3
Frambush 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/8db33325de0020d12c89b29acc4e3857838ff5fc_BBO042411_1.png,8,64,8.5,2,3
Mini-Fût Ginette Fruit 6L,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/276d538e387ddee0b327c013867ab2ec97e86e96_BMI038977_1.png,8,64,4,2,3
Barbar Rouge 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e2cc7d596c5710516e28b69bcecee447bf607bf8_BBO030188_1.png,8,64,8,2,3
Blanche de Bruxelles Rosée 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/9fd7c1f2269f39c613be73254b2c1ce250b480e2_BBO038361_1.png,8,64,4.5,2,3
Floris Passion 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/5de65f533bc11b4cf6cc99116b9d1940548c7bd0_BBO038695_1.png,3,64,3.6,2,3
Delirium Red 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/40b30a1bc5487d6b293e2c00e88f1f4c1cf65d78_BBO038691_1.png,8,64,8,2,3
Mongozo Banane 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/ce6ab5da034106ddc1ffb6a5d5d64c0ca4f7d2bd_BBO038684_1.png,3,64,3.6,2,3
Mini-fût Leffe Ruby 6L,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/a7fedcba3b739fa3181beba0f5edad005ada930c_BMI032203_1.png,8,64,5,2,3
Mini-fût Hoegaarden Rosée 6L,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/6eddb596d9179267862248615ef7e1c54551debb_BMI032224_1.png,8,64,3,2,3
Grisette Fruits des Bois 25 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/d7bed29cf5f3ee655e942333c1f29c328fae3321_BBO037569_1.png,8,64,3.8,2,3
Le Petit Béret Téquila 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/c31e813ace9c4c8193c5a2fdc56c9b225ef063b1_ZBI037507_1.png,3,64,0,2,3
La Papouille 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/b477e7fd52f0ab6b9ae3904470d9698138db0122_BBO037485_1.png,8,64,5,2,3
Liefmans Free 25 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/6deaca39cc4787e9aa451df5809d4c9d0fd734b0_ZBI037321_1.png,8,64,0.5 ,2,3
Queue de Charrue Rouge 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/fb10404d2e67656b9ee7aec632b849efd793729c_BBO033464_1.png,8,64,8.7,2,3
Mont Blanc Bleue 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/105ad941e2b664845cf4fe6fd97b9617a4654951_BBO033414_1.png,8,64,5.8,2,3
Liefmans Yell'Oh 25cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/8debcca68bf4e96bce8f6ed8888d0face83f463c_BBO033093_1.png,3,64,3.8,2,3
Levrette Cherry 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/0b4f9168942e1bf8f62ec9f2d7a3477502e675ac_BBO032882_1.png,8,64,3.5,2,3
Levrette Cherry 25 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/ece5fc841d1c896024aa9e7d9fcaded8fa19a419_BBO030054_1.png,8,64,3.5,2,3
Liefmans Fruitesse 25cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/dd01c7343d0135862cf6b063719c1f6de022cd19_BBO032028_1.png,8,64,3.8,2,3
Gauloise Fruits Rouges 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/d99ea2fbd24aeef4339148740cdf6249e9042f74_BBO031978_1.png,8,64,8.2,2,3
Blanche de Namur rosée 25 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/4389f31f5af3f6f1bd1f9c22188fbc45cb15d13f_BBO030279_1.png,11,64,3.2,2,3
Bonnets Rouges  33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/dcae0c70cd0832e80abcd22fd5c3c8f105114c87_BBO030293_1.png,8,64,5.5,2,3
Lindemans Apple 25 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e0119dd31e64f8c2888885649169ad0ba0b4b2ba_BBO030163_1.png,8,64,3.5,2,3
Cherry Chouffe 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/f98d6ae19396d20f6362643079fdad88493846e3_BBO030444_1.png,8,64,8,2,3
Mont Blanc Verte Génépi 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/2ad54c89a073a2855b94a6d4c64825790bf5f175_BBO032042_1.png,11,64,5.9,2,3
Kasteel Rouge 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/297217ade7b690d0182af410787ef4203376af8e_BBO033035_1.png,8,64,8,2,3
Pfungstadter Radler 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/6fd89c354b6cc5fad59f495beda370068d0dc167_BBO032068_1.png,3,64,2.7,2,3
Kasteel Rouge 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/459fe4bbd75bf2d527cc06514d75c90f07919c86_BBO031996_1.png,8,64,8,2,3
Corsendonk Dubbel Kriek 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/0d0c80cb087256a271080c94b312377b72d5c971_BBO030479_1.png,8,64,8.5,2,3
Beck's Lemon 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/fe3590862c933bd828a187d083fc4eed6405d66b_BBO030223_1.png,3,64,2.5,2,3
Pêche Mel Bush 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/a8b1eaebcd45711f4d24b456a8b75970466fc538_BBO032077_1.png,3,64,8.5,2,3
Cognac Barrel 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/0a14ffea0c099b1a650b9e66741ac8c17cdb2835_BBO038371_1.png,5,55,9.5,2,19
Baden Power Barley Wine Rhum 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/2a4c8b67aba7f2da4199312a1d108ff88857065a_BBO037707_1.png,5,55,12,2,19
Ale de hardy,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/50e2a33d0c397fbb39bd9c6b7329df157a11aa60_BBO030161_1.png,7,55,10.5,2,19
Winter Rescue 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/26f925c48badd9ce332400f273d0fd55d35ab8c5_BBO036692_1.png,5,55,9,2,19
Cognac Barrel 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/f436d08a12a5ed54473d0a69765df4137cee2503_BBO033005_1.png,5,55,9.5,2,19
Saint Feuillien Blonde 75cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/b9d4ce3dce6f48c8da57793d88c712459644febc_BBO046210_1.png,3,48,7.5,2,3
Mini fût Kwak Blonde 6L,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/8d669cbda756faa9656ef85895dd8c977f6fb3fc_BMI045894_1.png,3,48,7.4,2,3
Mini-Fût Leffe De Printemps 6L,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e509dee45c73809b02fd352a23917157a7e64ecd_BMI032229_1.png,3,48,6.6,2,3
Brugse Zot Blond 75cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/a3e58cad0367442602455257364becf329f08e17_BBO038207_1.png,3,48,6,2,3
Kwak Blonde 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/14d0c36166b01ee8247b8de970b54d87c5bd7f07_BBO045082_1.png,3,48,7.4,2,3
Chouffe 40 ans 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/4ac26de7b943ddb8cc6e042055cce756cc76ff5d_BBO043575_1.png,3,48,5.6,2,3
Val Dieu Blonde 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/db32a8d2eba0c8590adc16cd585994b4c3ad3b8a_BBO044378_1.png,3,48,6,2,3
Val Dieu Cuvée 800 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/7e7a06aa70fb055327de7791f794ee0c96aab174_BBO044372_1.png,3,48,5.5,2,3
Paranoïa 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/afa70bc4fa2a5ab7036e8372446850410d964b3b_BCA042404_1.png,3,48,5.6,2,3
Westmalle Extra 4 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/bb3afb76f8333d0b75f4a971a26c7f205736f09e_BBO042846_1.png,3,48,4.8,2,3
Kasteel Xtra 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e886ddf2cceb5a70f1af3ae03607dfd2c16980f8_BBO041388_1.png,3,48,4.5,2,3
Rendez-Vous 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/39387390754cee2c717fa54f4c46bcaf58a41ecb_BBO039354_1.png,3,48,5.2,2,3
3 Monts Héritage Houblons 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/cfb8df9b17222f3cbe12560c91a4f08739dde013_BBO038867_1.png,3,48,7,2,3
3 Monts Héritage Houblons 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/52f4dd6acd55f895d948489af74d343685bf181f_BBO038866_1.png,3,48,7,2,3
