name,image_url,user_id,beer_family_id,typical_beer_id
De Halve Maan Brugse Sportzot Sans Alcool 33 cl,https://bieronomy.com/14101-home_default/de-halve-maan-brugse-sportzot-sans-alcool-33-cl.jpg,2,3,50
Lupulus | Hibernatus Bière d'Hiver | 33 cl,https://bieronomy.com/22973-home_default/lupulus-hibernatus-biere-d-hiver-33-cl.jpg,2,3,50
Elixkir | Saison Verjus La Mise Au Vert | 33 cl,https://bieronomy.com/22849-home_default/elixkir-saison-verjus-la-mise-au-vert-33-cl.jpg,2,3,51
De Ranke Simplex Belgian Blonde 33 cl,https://bieronomy.com/13901-home_default/de-ranke-simplex-belgian-blonde-33-cl.jpg,2,3,48
Dupont - Blanche du Hainaut Biologique 25 cl,https://bieronomy.com/13905-home_default/dupont-blanche-du-hainaut-biologique-25-cl.jpg,1,3,47
St-Feuillien Saison 33 cl,https://bieronomy.com/12971-home_default/st-feuillien-saison-33-cl.jpg,2,3,51
De Halve Maan Brugse Zot Blonde 33 cl,https://bieronomy.com/13888-home_default/de-halve-maan-brugse-zot-blonde-33-cl.jpg,2,3,48
Het Anker Gouden Carolus Tripel 33 cl,https://bieronomy.com/12989-home_default/het-anker-gouden-carolus-tripel-33-cl.jpg,2,3,54
Lupulus Blanche Witbier 33 cl,https://bieronomy.com/13997-home_default/lupulus-blanche-witbier-33-cl.jpg,1,3,47
Lupulus Organicus Belgian Tripel 33 cl,https://bieronomy.com/13996-home_default/lupulus-organicus-belgian-tripel-33-cl.jpg,2,3,54
Dubuisson Bush Blonde Triple 33 cl,https://bieronomy.com/14090-home_default/dubuisson-bush-blonde-triple-33-cl.jpg,2,3,54
Gouden Carolus Classic 33 cl Het Anker,https://bieronomy.com/12990-home_default/gouden-carolus-classic-33-cl-het-anker.jpg,2,3,43
Brasserie Veyrat - La Pasnaille Bière Printemps Bio 33 cl,https://bieronomy.com/20996-home_default/brasserie-veyrat-la-pasnaille-biere-printemps-bio-33-cl.jpg,2,3,50
Dupont Bière de Miel Biologique 33 cl,https://bieronomy.com/13904-home_default/dupont-biere-de-miel-biologique-33-cl.jpg,2,3,53
Dubuisson - Bush Prestige 75 cl,https://bieronomy.com/18616-home_default/dubuisson-bush-prestige-75-cl.jpg,2,3,48
St-Feuillien | Grand Cru | 75 cl,https://bieronomy.com/22968-home_default/st-feuillien-grand-cru-75-cl.jpg,2,3,51
