name,image_url,design_color_id,typical_beer_id,alcohol_level,user_id,beer_family_id,heroku 
Mini-fût Bitburger 5L,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/392b74bc9a062857b5f6040291d80e6b0b1b217c_BMI032184_1.png,3,7,4.8,2,10,
Weihenstephaner Pilsner 50 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/73bf7124ae2247531294b2a1cd0b753370b4622b_BBO032136_1.png,3,7,5.1,2,10,
Rothaus Eiszäpfle 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/7fd6046b4cc3661ddabb608c1592ac07b5e01281_BBO032095_1.png,3,7,5.6,2,10,
Pilsner Urquell 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/f0e3ba19832cfd613300aa05e2531ed9e418b9b0_BBO032071_1.png,3,7,4.4,2,10,
Warsteiner 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/4d818bc4d0a3dc05f34014189df1388b2bb208bb_BBO032127_1.png,3,7,4.8,2,10,
Veltins 50 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/4d4a279e1f33798ba4611c96bc52e9a701fe89f7_BBO032125_1.png,3,7,4.8,2,10,
Warsteiner 50 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/8e4946a2a243f9bee87ab85a64e76df2dcee55c2_BBO032126_1.png,3,7,4.8,2,10,
Krombacher Pils 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/3f99b75d54341a32b1a04558ce2632b8a1209dde_BBO032004_1.png,3,7,4.8,2,10,
Bitburger 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/8731b9ac08431a0f677f11c7677d719860bafd26_BBO030271_1.png,3,7,4.8,2,10,
Dodo Bourbon 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/fe0fcb23544433833b675661a6d1655032fa2067_BBO031937_1.png,3,7,5,2,10,
